,gene_symbol,driver_gene_status,count_seq,count_numb
190,PABPC3,Tumour Suppressor,778,804
191,PBRM1,Tumour Suppressor,778,0
192,PCDH18,Tumour Suppressor,778,804
193,PCSK5,Tumour Suppressor,778,1609
194,PGR,Tumour Suppressor,778,0
195,PHF6,Tumour Suppressor,778,0
196,PHLPP1,Tumour Suppressor,778,0
197,PIK3C2B,Tumour Suppressor,778,804
198,PIK3CA,Tumour Suppressor,778,0
199,PIK3CB,Oncogene,778,804
200,PIK3R1,Tumour Suppressor,778,0
201,PLCB1,Tumour Suppressor,778,0
202,PLCG1,Oncogene,778,0
203,PLXNA1,Tumour Suppressor,778,0
204,POLR2B,Tumour Suppressor,778,0
205,PPP2R1A,Oncogene,778,0
206,PSIP1,Tumour Suppressor,778,804
207,PTCH1,Tumour Suppressor,778,0
208,PTEN,Tumour Suppressor,778,804
209,PTPN11,Oncogene,778,0
210,PTPRU,Tumour Suppressor,778,0
211,RAC1,Oncogene,778,804
212,RAD21,Tumour Suppressor,778,804
213,RASA1,Tumour Suppressor,778,0
214,RASA2,Tumour Suppressor,778,0
215,RB1,Tumour Suppressor,778,804
216,RBM10,Tumour Suppressor,778,0
217,RBM5,Tumour Suppressor,778,0
218,RGS3,Tumour Suppressor,778,0
219,RHOA,Oncogene,778,0
220,RHOT1,Oncogene,778,0
221,RNF43,Tumour Suppressor,778,0
222,ROBO2,Tumour Suppressor,778,0
223,RPGR,Tumour Suppressor,778,804
224,RTN4,Tumour Suppressor,778,0
225,RUNX1,Tumour Suppressor,778,0
226,SCAI,Tumour Suppressor,778,0
227,SEC31A,Tumour Suppressor,778,0
228,SETD2,Tumour Suppressor,778,0
229,SETDB1,Tumour Suppressor,778,804
230,SF3B1,Oncogene,778,0
231,SIN3A,Tumour Suppressor,778,0
232,SMAD2,Tumour Suppressor,778,0
233,SMAD4,Tumour Suppressor,778,804
234,SMARCA1,Tumour Suppressor,778,0
235,SMARCA4,Tumour Suppressor,778,804
236,SMARCB1,Tumour Suppressor,778,0
237,SMC1A,Oncogene,778,0
238,SOS1,Tumour Suppressor,778,0
239,SOS2,Tumour Suppressor,778,804
240,SOX9,Tumour Suppressor,778,804
241,SPOP,Oncogene,778,0
242,SPTAN1,Tumour Suppressor,778,0
243,SRGAP1,Tumour Suppressor,778,804
244,SRGAP3,Tumour Suppressor,778,804
245,STAG1,Tumour Suppressor,778,804
246,STAG2,Tumour Suppressor,778,0
247,STIP1,Tumour Suppressor,778,0
248,STK11,Tumour Suppressor,778,804
249,STK4,Oncogene,778,804
250,SVEP1,Tumour Suppressor,778,0
251,TAOK1,Tumour Suppressor,778,804
252,TBL1XR1,Tumour Suppressor,778,0
253,TBX3,Tumour Suppressor,778,0
254,TCF12,Tumour Suppressor,778,0
255,TCF4,Tumour Suppressor,778,0
256,TCF7L2,Tumour Suppressor,778,0
257,TET2,Tumour Suppressor,778,0
258,THRAP3,Tumour Suppressor,778,0
259,TJP1,Tumour Suppressor,778,0
260,TJP2,Tumour Suppressor,778,1609
261,TP53,Tumour Suppressor,778,804
262,TRIO,Tumour Suppressor,778,804
263,TSC1,Tumour Suppressor,778,0
264,U2AF1,Oncogene,778,0
265,UPF3B,Tumour Suppressor,778,0
266,USP6,Tumour Suppressor,778,0
267,VHL,Tumour Suppressor,778,0
268,WNK1,Tumour Suppressor,778,804
269,XPO1,Oncogene,778,804
270,XRN1,Tumour Suppressor,778,0
271,ZC3H11A,Tumour Suppressor,778,804
272,ZFHX3,Tumour Suppressor,778,804
273,ZFP36L1,Tumour Suppressor,778,0
274,ZFP36L2,Tumour Suppressor,778,0
275,ZMYM2,Tumour Suppressor,778,804
276,ZNF292,Tumour Suppressor,778,804
277,ZNF638,Tumour Suppressor,778,0
278,ZNRF3,Tumour Suppressor,778,804
