Sample Name,COSMIC identifier,MSI
DAN-G,1290797,MSS/MSI-L
HPAC,1298136,MSS/MSI-L
HPAF-II,724869,MSS/MSI-L
Hs766T,1298141,MSS/MSI-L
HuP-T3,907285,MSS/MSI-L
HuP-T4,907286,MSS/MSI-L
KP-1N,1298216,MSS/MSI-L
KP-3,1298219,MSS/MSI-L
KP-4,753572,MSS/MSI-L
MIA-PaCa-2,724870,MSS/MSI-L
MZ1-PC,753595,MSS/MSI-L
PANC-02-03,1298475,MSS/MSI-L
PANC-03-27,925346,MSS/MSI-L
PANC-04-03,1298476,MSS/MSI-L
PANC-08-13,925347,MSS/MSI-L
PANC-10-05,925348,MSS/MSI-L
PA-TU-8902,1298526,MSS/MSI-L
PA-TU-8988T,1240201,MSS/MSI-L
PL18,1240208,MSS/MSI-L
PL4,1298533,MSS/MSI-L
PSN1,910546,MSS/MSI-L
QGP-1,1298534,MSS/MSI-L
SU8686,1240218,MSS/MSI-L
SUIT-2,1240219,MSS/MSI-L
SW1990,910907,MSS/MSI-L
YAPC,909904,MSS/MSI-L
451Lu,1287706,MSS/MSI-L
A101D,910921,MSS/MSI-L
A2058,906792,MSS/MSI-L
A375,906793,MSS/MSI-L
C32,906830,MSS/MSI-L
CHL-1,910853,MSS/MSI-L
COLO-679,906818,MSS/MSI-L
COLO-792,906814,MSS/MSI-L
COLO-800,906813,MSS/MSI-L
COLO-829,687448,MSS/MSI-L
CP50-MEL-B,753545,MSS/MSI-L
CP66-MEL,753546,MSS/MSI-L
G-361,906865,MSS/MSI-L
GAK,910932,MSS/MSI-L
G-MEL,1240130,MSS/MSI-L
HMV-II,907058,MSS/MSI-L
Hs940-T,1298145,MSS/MSI-L
HT-144,907067,MSS/MSI-L
IGR-1,907169,MSS/MSI-L
IGR-37,1240153,MSS/MSI-L
IPC-298,907171,MSS/MSI-L
IST-MEL1,907172,MSS/MSI-L
LB2518-MEL,753579,MSS/MSI-L
LB373-MEL-D,753581,MSS/MSI-L
LOXIMVI,905974,MSS/MSI-L
M14,905975,MSS/MSI-L
MEL-HO,908124,MSS/MSI-L
MEL-JUSO,908125,MSS/MSI-L
Mewo,908128,MSS/MSI-L
MMAC-SF,925339,MSS/MSI-L
MZ2-MEL,971777,MSS/MSI-L
MZ7-mel,753596,MSS/MSI-L
RPMI-7951,910903,MSS/MSI-L
RVH-421,909706,MSS/MSI-L
SH-4,909713,MSS/MSI-L
SK-MEL-1,909723,MSS/MSI-L
SK-MEL-2,905955,MSI-H
SK-MEL-24,909725,MSS/MSI-L
SK-MEL-28,905954,MSS/MSI-L
SK-MEL-3,909724,MSS/MSI-L
SK-MEL-30,909726,MSS/MSI-L
SK-MEL-31,909727,MSS/MSI-L
SK-MEL-5,905956,MSS/MSI-L
UACC-257,905977,MSS/MSI-L
UACC-62,905976,MSS/MSI-L
WM-115,909784,MSS/MSI-L
WM1552C,1299078,MSS/MSI-L
WM278,1240226,MSS/MSI-L
WM35,1299080,MSS/MSI-L
WM793B,1299081,MSS/MSI-L
A388,910697,MSS/MSI-L
A431,910925,MSS/MSI-L
DJM-1,906841,MSS/MSI-L
HT-1080,907064,MSS/MSI-L
SW684,909754,MSS/MSI-L
A204,910784,MSS/MSI-L
A673,684052,MSS/MSI-L
KYM-1,1240166,MSS/MSI-L
RD,909264,MSS/MSI-L
RH-1,971773,MSS/MSI-L
RH-18,971774,MSS/MSI-L
RH-41,1240210,MSS/MSI-L
SJRH30,909716,MSS/MSI-L
TE-441-T,924248,MSS/MSI-L
G-402,907298,MSS/MSI-L
GCT,906999,MSS/MSI-L
MFH-ino,925343,MSS/MSI-L
SK-LMS-1,909720,MSS/MSI-L
SK-UT-1,909732,MSI-H
SW872,909756,MSS/MSI-L
SW982,909759,MSS/MSI-L
VA-ES-BJ,688121,MSS/MSI-L
8305C,906795,MSS/MSI-L
8505C,924102,MSS/MSI-L
ASH-3,1290722,MSS/MSI-L
BCPAP,924104,MSS/MSI-L
BHT-101,906696,MSS/MSI-L
CAL-62,906828,MSS/MSI-L
CGTH-W-1,910568,MSS/MSI-L
FTC-133,906864,MSS/MSI-L
HTC-C3,924151,MSS/MSI-L
IHH-4,1240154,MSS/MSI-L
K5,924238,MSS/MSI-L
ML-1,1240178,MSS/MSI-L
RO82-W-1,930083,MSS/MSI-L
TT,930299,MSS/MSI-L
TT2609-C02,1240223,MSS/MSI-L
5637,687452,MSS/MSI-L
639-V,906798,MSS/MSI-L
647-V,906797,MSS/MSI-L
BFTC-905,910926,MSS/MSI-L
CAL-29,1290730,MSS/MSI-L
DSH1,753552,MSS/MSI-L
HT-1197,907065,MSS/MSI-L
HT-1376,907066,MSS/MSI-L
J82,753566,MSS/MSI-L
KU-19-19,907312,MSS/MSI-L
LB831-BLC,753584,MSS/MSI-L
RT-112,909704,MSS/MSI-L
RT4,687455,MSS/MSI-L
SW1710,909749,MSS/MSI-L
SW780,687457,MSS/MSI-L
T-24,724812,MSS/MSI-L
TCCSUP,687459,MSS/MSI-L
UM-UC-3,724838,MSS/MSI-L
VM-CUB-1,909780,MSS/MSI-L
C-33-A,687505,MSI-H
C-4-I,687506,MSS/MSI-L
CAL-39,924107,MSS/MSI-L
Ca-Ski,906824,MSS/MSI-L
DoTc2-4510,906843,MSS/MSI-L
HeLa,1298134,MSS/MSI-L
HT-3,907068,MSS/MSI-L
ME-180,687514,MSS/MSI-L
MS751,1240179,MSS/MSI-L
SiHa,930297,MSS/MSI-L
SISO,1240212,MSS/MSI-L
SKG-IIIa,930298,MSS/MSI-L
SW756,724839,MSS/MSI-L
TC-YIK,946357,MSS/MSI-L
AN3-CA,910781,MSI-H
COLO-684,910691,MSI-H
EN,1240127,MSS/MSI-L
ESS-1,907000,MSS/MSI-L
HEC-1,907051,MSI-H
KLE,924187,MSS/MSI-L
MFE-280,908129,MSS/MSI-L
MFE-296,908130,MSI-H
MFE-319,1240174,MSI-H
SNG-M,909735,MSI-H
A2780,906804,MSS/MSI-L
Caov-4,949090,MSS/MSI-L
EFO-21,911905,MSS/MSI-L
EFO-27,906852,MSI-H
ES-2,1240128,MSS/MSI-L
FU-OV-1,1240129,MSS/MSI-L
IGROV-1,905968,MSI-H
JHOS-2,1479995,MSS/MSI-L
JHOS-3,1480358,MSS/MSI-L
JHOS-4,1480359,MSS/MSI-L
KGN,924186,MSS/MSI-L
KURAMOCHI,909975,MSS/MSI-L
OAW-28,946360,MSS/MSI-L
OAW-42,910548,MSS/MSI-L
OC-314,909257,MSI-H
OV-17R,1480361,MSS/MSI-L
OV-56,1480362,MSS/MSI-L
OV-7,1480360,MSS/MSI-L
OV-90,1240197,MSS/MSI-L
OVCA420,1480364,MSS/MSI-L
OVCAR-3,905933,MSS/MSI-L
OVCAR-4,905990,MSS/MSI-L
OVCAR-5,905969,MSS/MSI-L
OVCAR-8,905991,MSS/MSI-L
OVISE,1240198,MSS/MSI-L
OVK-18,1480371,MSI-H
OVKATE,1240199,MSS/MSI-L
OVMIU,1240200,MSS/MSI-L
OVTOKO,1298365,MSS/MSI-L
PA-1,909255,MSS/MSI-L
PEO1,1480372,MSS/MSI-L
RKN,1298539,MSS/MSI-L
RMG-I,909699,MSS/MSI-L
SK-OV-3,905959,MSI-H
SW626,909753,MSS/MSI-L
TOV-112D,1299070,MSS/MSI-L
TOV-21G,1240222,MSI-H
TYK-nu,909774,MSS/MSI-L
UWB1.289,1480374,MSS/MSI-L
22RV1,924100,MSI-H
BPH-1,924105,MSS/MSI-L
DU-145,905935,MSI-H
LNCaP-Clone-FGC,907788,MSI-H
PC-3,905934,MSS/MSI-L
PWR-1E,1330993,MSS/MSI-L
VCaP,1299075,MSS/MSI-L
NCCIT,908441,MSS/MSI-L
NEC8,910942,MSS/MSI-L
NTERA-2 cl.D1,908454,MSS/MSI-L
JAR,907175,MSS/MSI-L
JEG-3,907176,MSS/MSI-L
SW954,924247,MSS/MSI-L
SW962,909758,MSS/MSI-L
MES-SA,908127,MSS/MSI-L
SKN,1240215,MSS/MSI-L
DMS-79,753551,
CMK,910566,MSS/MSI-L
NB-4,1323913,MSS/MSI-L
MHH-CALL-4,908133,MSS/MSI-L
BC-3,910918,MSS/MSI-L
HT,907063,MSI-H
JM1,1327768,MSS/MSI-L
BONNA-12,906695,MSS/MSI-L
ES6,949157,MSS/MSI-L
MHH-ES-1,908134,MSS/MSI-L
DIFI,1789883,MSS/MSI-L
NCI-H508,908442,MSS/MSI-L
SNU-283,1659929,MSS/MSI-L
SW620,905962,MSS/MSI-L
JHH-2,1240157,MSS/MSI-L
JHH-4,1240158,MSS/MSI-L
RCC-JF,1524415,MSS/MSI-L
SW156,1240220,MSS/MSI-L
HOP-62,905972,MSS/MSI-L
NCI-H1437,687794,MSS/MSI-L
PC-3 [JPC-3],1240202,MSS/MSI-L
NCI-H740,1331055,MSS/MSI-L
COR-L95,1297439,MSS/MSI-L
HCC-33,1303901,MSS/MSI-L
NCI-H128,753597,MSS/MSI-L
NCI-H1304,753599,MSS/MSI-L
NCI-H2081,908480,MSS/MSI-L
NCI-H2171,688015,MSS/MSI-L
SHP-77,724872,MSS/MSI-L
SW1271,1299062,MSS/MSI-L
D-423MG,946372,MSS/MSI-L
KP-N-RT-BM-1,924189,MSS/MSI-L
KP-N-YS,946363,MSS/MSI-L
MC-IXC,908118,MSS/MSI-L
COLO-783,1240125,MSS/MSI-L
CP67-MEL,949092,MSS/MSI-L
Hs633T,1240149,MSS/MSI-L
KMH-2,1298167,MSS/MSI-L
OMC-1,949154,MSS/MSI-L
RL95-2,930082,MSI-H
Caov-3,906825,MSS/MSI-L
DOV13,1479987,MSS/MSI-L
Hey,1479988,MSS/MSI-L
NCI-H660,1330975,MSS/MSI-L
JHU-029,1298156,
SCC90,1299052,
MOLM-16,1330948,
OCI-LY7,1659819,
KMS-11,1659817,
CHSA0011,1290767,
CHSA0108,1290768,
JIMT-1,1298157,
CL-34,1290771,
VMRC-LCD,713869,
K2,1298160,
STS-0421,1299061,
MY-M12,1330960,MSS/MSI-L
TALL-1,909762,MSS/MSI-L
NK-92MI,1330981,MSS/MSI-L
MDA-MB-175-VII,908120,MSS/MSI-L
YMB-1-E,1303911,MSS/MSI-L
VMRC-RCW,1240224,MSS/MSI-L
NCI-H460,905943,MSS/MSI-L
RERF-LC-FM,930081,MSS/MSI-L
D-245MG,946366,MSS/MSI-L
Hs939-T,1298144,MSS/MSI-L
VMRC-MELG,930301,MSS/MSI-L
OVCA433,1480367,MSS/MSI-L
TMK-1,1299069,
KP-2,1298218,
KO52,1330932,MSS/MSI-L
SC-1,1331030,MSS/MSI-L
U-CH2,1503373,MSS/MSI-L
TOTAL:,,
